{'text': '[Music]', 'start': 0.0, 'duration': 13.0}
{'text': 'thing and now we also have fossils that', 'start': 331.12, 'duration': 3.69}
{'text': "show that cheetahs we're in North", 'start': 333.07, 'duration': 3.6}
{'text': 'America at one point so that they', 'start': 334.81, 'duration': 3.69}
{'text': 'originated here and that they are in', 'start': 336.67, 'duration': 4.02}
{'text': 'fact close cousins to Cougars now of', 'start': 338.5, 'duration': 3.99}
{'text': 'course that supports evolution but then', 'start': 340.69, 'duration': 5.19}
{'text': "that's the data from the genome a", 'start': 342.49, 'duration': 5.4}
{'text': 'computer not just a child can see that', 'start': 345.88, 'duration': 3.78}
{'text': 'but a computer can see that a computer', 'start': 347.89, 'duration': 3.69}
{'text': "doesn't have to have any human biases or", 'start': 349.66, 'duration': 4.11}
{'text': 'assumptions the computer identifies that', 'start': 351.58, 'duration': 4.5}
{'text': 'cheetahs and cougars are essentially the', 'start': 353.77, 'duration': 3.57}
{'text': 'same thing that they should be in the', 'start': 356.08, 'duration': 3.3}
{'text': 'same genus and that we should you know', 'start': 357.34, 'duration': 3.54}
{'text': 'develop a construct that reflects that', 'start': 359.38, 'duration': 3.06}
{'text': "because that's the truth of it and that", 'start': 360.88, 'duration': 3.96}
{'text': 'we should honor that why does Georgia', 'start': 362.44, 'duration': 4.979}
{'text': 'say that current biologists are upset', 'start': 364.84, 'duration': 4.14}
{'text': 'with Carl Linnaeus why would she use', 'start': 367.419, 'duration': 3.961}
{'text': 'that phrase creationists like to project', 'start': 368.98, 'duration': 4.53}
{'text': 'their own faults onto those who will not', 'start': 371.38, 'duration': 5.25}
{'text': 'share them so when she has a problem she', 'start': 373.51, 'duration': 5.34}
{'text': 'wants to accuse us of having the problem', 'start': 376.63, 'duration': 3.72}
{'text': "that she has even though we don't have", 'start': 378.85, 'duration': 3.3}
{'text': "that problem it's a condition that I", 'start': 380.35, 'duration': 3.569}
{'text': 'call the pot calling the silverware', 'start': 382.15, 'duration': 4.92}
{'text': 'black and and this troop does that quite', 'start': 383.919, 'duration': 5.641}
{'text': 'a bit the guy in blue who gets bored', 'start': 387.07, 'duration': 4.71}
{'text': 'when he hears reality he does that quite', 'start': 389.56, 'duration': 4.92}
{'text': 'a bit but fair to say that biologists', 'start': 391.78, 'duration': 4.53}
{'text': 'are attempting to improve a process', 'start': 394.48, 'duration': 3.9}
{'text': "they're not angry at a process exactly", 'start': 396.31, 'duration': 3.57}
{'text': "if it doesn't work if it needs", 'start': 398.38, 'duration': 3.3}
{'text': 'improvements then we have to fix it and', 'start': 399.88, 'duration': 3.51}
{'text': "it's that's not what they do they don't", 'start': 401.68, 'duration': 3.84}
{'text': 'want a more accurate system because they', 'start': 403.39, 'duration': 3.81}
{'text': 'know what accuracy means', 'start': 405.52, 'duration': 3.21}
{'text': 'it means supporting the evolutionary', 'start': 407.2, 'duration': 3.42}
{'text': "position and so that's where evolution", 'start': 408.73, 'duration': 3.39}
{'text': 'is struggle with that because well this', 'start': 410.62, 'duration': 3.03}
{'text': "doesn't really reflect like their", 'start': 412.12, 'duration': 3.3}
{'text': 'reality creationist had to invent', 'start': 413.65, 'duration': 3.03}
{'text': 'Barrowman ology and a number of', 'start': 415.42, 'duration': 3.27}
{'text': 'apologetics I mean the apologetics', 'start': 416.68, 'duration': 4.59}
{'text': "exists because reality doesn't accept", 'start': 418.69, 'duration': 5.13}
{'text': 'their alternate reality so they have to', 'start': 421.27, 'duration': 3.96}
{'text': 'come up with alternate facts which are', 'start': 423.82, 'duration': 6.12}
{'text': 'also known as lies their reality and so', 'start': 425.23, 'duration': 6.72}
{'text': "we need to change it and so they've come", 'start': 429.94, 'duration': 3.66}
{'text': "up with a new way to do that now they're", 'start': 431.95, 'duration': 2.85}
{'text': "not saying they're gonna change the", 'start': 433.6, 'duration': 3.21}
{'text': 'genus and species names of the organisms', 'start': 434.8, 'duration': 3.69}
{'text': "that's the binomial nomenclature they", 'start': 436.81, 'duration': 3.9}
{'text': 'actually are changing the D genus and', 'start': 438.49, 'duration': 3.96}
{'text': "species name go at least they're", 'start': 440.71, 'duration': 3.27}
{'text': 'wandering away from binomial', 'start': 442.45, 'duration': 3.39}
{'text': 'nomenclature and that is because we', 'start': 443.98, 'duration': 3.93}
{'text': 'understand that evolution happens and so', 'start': 445.84, 'duration': 4.05}
{'text': 'that when you have Canis lupus for', 'start': 447.91, 'duration': 3.42}
{'text': "example if what it's Canis lupus", 'start': 449.89, 'duration': 3.51}
{'text': "familiaris because that's already a", 'start': 451.33, 'duration': 3.57}
{'text': 'trinomial but then what happens when you', 'start': 453.4, 'duration': 3.81}
{'text': 'go further when a new breed becomes its', 'start': 454.9, 'duration': 4.56}
{'text': 'own species or subspecies classification', 'start': 457.21, 'duration': 3.99}
{'text': "that it warrants another name so there's", 'start': 459.46, 'duration': 4.62}
{'text': 'a Canis lupus familiaris dachshund we', 'start': 461.2, 'duration': 4.56}
{'text': 'have to come up with some consideration', 'start': 464.08, 'duration': 4.02}
{'text': 'for the how do we do this accurately we', 'start': 465.76, 'duration': 4.38}
{'text': "can't adhere to the binomial", 'start': 468.1, 'duration': 3.72}
{'text': "nomenclature when it doesn't work", 'start': 470.14, 'duration': 3.93}
{'text': 'anymore or when it no longer informative', 'start': 471.82, 'duration': 4.5}
{'text': "and just because it's traditional it", 'start': 474.07, 'duration': 4.83}
{'text': "doesn't you'll be using it they're not", 'start': 476.32, 'duration': 3.45}
{'text': "gonna change that but they're gonna", 'start': 478.9, 'duration': 2.43}
{'text': 'change sort of the higher or the higher', 'start': 479.77, 'duration': 3.3}
{'text': "order ones and how they're all organized", 'start': 481.33, 'duration': 3.92}
{'text': "and they're actually gonna organize them", 'start': 483.07, 'duration': 5.25}
{'text': 'according to claims and clade as', 'start': 485.25, 'duration': 4.75}
{'text': 'supposedly all the organisms come from a', 'start': 488.32, 'duration': 4.11}
{'text': "common ancestor within a clade so that's", 'start': 490.0, 'duration': 3.93}
{'text': 'how they want to organize it so what do', 'start': 492.43, 'duration': 3.87}
{'text': 'you think about this Bryan if you me', 'start': 493.93, 'duration': 4.2}
{'text': "back up no I just why don't you just", 'start': 496.3, 'duration': 4.2}
{'text': 'give that guy a ball and go send him', 'start': 498.13, 'duration': 4.47}
{'text': 'into a corner to maybe even bounce it', 'start': 500.5, 'duration': 5.37}
{'text': "why the hell is he even on camera he's", 'start': 502.6, 'duration': 5.1}
{'text': "got the pretty smile he's in charge of", 'start': 505.87, 'duration': 3.6}
{'text': 'their home school curriculum if you can', 'start': 507.7, 'duration': 4.41}
{'text': 'oh my word what kind of a justice is', 'start': 509.47, 'duration': 5.04}
{'text': 'that a guy who falls asleep whatever he', 'start': 512.11, 'duration': 4.8}
{'text': 'hears information was that a reasonable', 'start': 514.51, 'duration': 4.41}
{'text': 'definition of clayed that georgia gave', 'start': 516.91, 'duration': 3.689}
{'text': "there yeah I mean it's a clade is", 'start': 518.92, 'duration': 4.05}
{'text': 'inclusive of all of the subsets of that', 'start': 520.599, 'duration': 4.321}
{'text': 'for example that one that people have', 'start': 522.97, 'duration': 4.35}
{'text': 'trouble with the word tetrapod tetrapod', 'start': 524.92, 'duration': 5.67}
{'text': 'is a organism that has four legs and is', 'start': 527.32, 'duration': 5.34}
{'text': 'adapted for life skeletally adapted for', 'start': 530.59, 'duration': 4.14}
{'text': 'life on land okay', 'start': 532.66, 'duration': 3.9}
{'text': 'so we have all these organisms that', 'start': 534.73, 'duration': 2.91}
{'text': 'crawled out a little', 'start': 536.56, 'duration': 3.09}
{'text': 'and they have four legs now except that', 'start': 537.64, 'duration': 4.68}
{'text': 'now we also have snakes and whales are', 'start': 539.65, 'duration': 4.2}
{'text': "two famous examples where they've lost", 'start': 542.32, 'duration': 4.17}
{'text': 'two or more of their limbs for whatever', 'start': 543.85, 'duration': 4.08}
{'text': "reason but they're still classified as", 'start': 546.49, 'duration': 3.48}
{'text': 'tetrapods for the same reason you know', 'start': 547.93, 'duration': 3.6}
{'text': 'we have certain criteria for what is a', 'start': 549.97, 'duration': 3.42}
{'text': 'human right you know that brain size C', 'start': 551.53, 'duration': 4.35}
{'text': "C's limbs fingers you know we have the", 'start': 553.39, 'duration': 4.08}
{'text': 'typical character traits but if a person', 'start': 555.88, 'duration': 5.01}
{'text': 'is born that is missing arms or legs or', 'start': 557.47, 'duration': 5.7}
{'text': "has it has a sub sized brain we don't", 'start': 560.89, 'duration': 4.95}
{'text': "say that they're not human because if", 'start': 563.17, 'duration': 4.05}
{'text': "you're born to humans and you're you're", 'start': 565.84, 'duration': 2.76}
{'text': "human it doesn't matter that you you", 'start': 567.22, 'duration': 3.3}
{'text': 'have a different set of characteristics', 'start': 568.6, 'duration': 2.91}
{'text': "or that you don't meet those", 'start': 570.52, 'duration': 2.46}
{'text': "requirements anymore because it's not", 'start': 571.51, 'duration': 3.66}
{'text': "character based it's based on your", 'start': 572.98, 'duration': 4.92}
{'text': 'phylogeny is based on your ancestry so', 'start': 575.17, 'duration': 4.98}
{'text': 'the children of humans are always going', 'start': 577.9, 'duration': 4.35}
{'text': 'to be human even if we evolve into two', 'start': 580.15, 'duration': 4.14}
{'text': 'different sets if it was that we were to', 'start': 582.25, 'duration': 4.17}
{'text': 'say a colony moves off to Mars and', 'start': 584.29, 'duration': 3.36}
{'text': "they're no longer physically", 'start': 586.42, 'duration': 3.15}
{'text': 'interbreeding with us very quickly that', 'start': 587.65, 'duration': 4.2}
{'text': 'small population would become distinctly', 'start': 589.57, 'duration': 4.41}
{'text': 'different if over enough generations', 'start': 591.85, 'duration': 3.63}
{'text': 'they would no longer be chemically inter', 'start': 593.98, 'duration': 3.18}
{'text': 'fertile with us if they were isolated', 'start': 595.48, 'duration': 3.09}
{'text': 'and then we would have two different', 'start': 597.16, 'duration': 3.9}
{'text': "species both of them human but it's just", 'start': 598.57, 'duration': 3.9}
{'text': 'because one of them is different than', 'start': 601.06, 'duration': 2.52}
{'text': "the other doesn't mean that they're not", 'start': 602.47, 'duration': 2.85}
{'text': 'human anymore so she actually gave a', 'start': 603.58, 'duration': 3.15}
{'text': "good definition that's surprising", 'start': 605.32, 'duration': 4.32}
{'text': "unwittingly yes I don't fault them for", 'start': 606.73, 'duration': 4.32}
{'text': 'doing that but what we would say is they', 'start': 609.64, 'duration': 2.94}
{'text': 'have the wrong foundation right the', 'start': 611.05, 'duration': 3.09}
{'text': "wrong history of the universe' gives in", 'start': 612.58, 'duration': 3.03}
{'text': "the wrong conclusion and it's so sad to", 'start': 614.14, 'duration': 3.66}
{'text': "me he doesn't fault us for doing the", 'start': 615.61, 'duration': 4.68}
{'text': 'very thing that he himself is doing but', 'start': 617.8, 'duration': 4.77}
{'text': 'that we are not doing these are not', 'start': 620.29, 'duration': 4.08}
{'text': 'assumptions we do not assume that', 'start': 622.57, 'duration': 3.81}
{'text': 'evolution is happening we know that', 'start': 624.37, 'duration': 4.02}
{'text': 'evolution is happening and people have', 'start': 626.38, 'duration': 3.66}
{'text': "tried to explain how that's happening", 'start': 628.39, 'duration': 3.3}
{'text': 'how did we manage to derive all these', 'start': 630.04, 'duration': 3.39}
{'text': "different breeds of cattle that didn't", 'start': 631.69, 'duration': 3.18}
{'text': 'exist in the wild when all we had', 'start': 633.43, 'duration': 3.48}
{'text': 'originally was our ox how did we breed', 'start': 634.87, 'duration': 3.69}
{'text': 'all of these different types of dogs', 'start': 636.91, 'duration': 4.08}
{'text': 'when originally all we had was Asiatic', 'start': 638.56, 'duration': 4.23}
{'text': 'wolves how did we breed all of these', 'start': 640.99, 'duration': 3.45}
{'text': 'different types of pigeons when we had', 'start': 642.79, 'duration': 3.93}
{'text': 'one original stock how did all of these', 'start': 644.44, 'duration': 4.77}
{'text': 'different varieties come from one common', 'start': 646.72, 'duration': 4.05}
{'text': "ancestor so we know that that's", 'start': 649.21, 'duration': 2.94}
{'text': "happening there's nobody questioning", 'start': 650.77, 'duration': 3.54}
{'text': "that that's not an assumption that's", 'start': 652.15, 'duration': 5.07}
{'text': "known that that's a fact so then people", 'start': 654.31, 'duration': 4.86}
{'text': 'like Lamar comes along and he says maybe', 'start': 657.22, 'duration': 3.51}
{'text': "this is what's happening and then we", 'start': 659.17, 'duration': 3.18}
{'text': "test Lamarck's theory we said well you", 'start': 660.73, 'duration': 3.66}
{'text': 'know what it has some credence maybe in', 'start': 662.35, 'duration': 4.86}
{'text': "some perspective but that's essentially", 'start': 664.39, 'duration': 5.13}
{'text': "not what's going on here so Lamarckism", 'start': 667.21, 'duration': 4.23}
{'text': 'is pushed aside that does', 'start': 669.52, 'duration': 3.84}
{'text': "not account for what's really happening", 'start': 671.44, 'duration': 4.23}
{'text': "that explanation doesn't work and then", 'start': 673.36, 'duration': 3.66}
{'text': 'Darwin comes along and he says well', 'start': 675.67, 'duration': 2.73}
{'text': "maybe this is what's happening so we", 'start': 677.02, 'duration': 3.0}
{'text': 'test that anyway you know what that', 'start': 678.4, 'duration': 3.69}
{'text': "works that actually is what's happening", 'start': 680.02, 'duration': 3.78}
{'text': 'and then other people come in later like', 'start': 682.09, 'duration': 4.05}
{'text': 'when Gregor Mendel comes in we he comes', 'start': 683.8, 'duration': 3.96}
{'text': 'up with genetics and now genetics adds', 'start': 686.14, 'duration': 3.48}
{'text': 'to that explanation and then we discover', 'start': 687.76, 'duration': 3.18}
{'text': 'mutations and that adds to that', 'start': 689.62, 'duration': 3.69}
{'text': 'explanation too and so all subsequent', 'start': 690.94, 'duration': 4.32}
{'text': 'research all compiles and shows that', 'start': 693.31, 'duration': 3.96}
{'text': "Darwin's theory is actually the working", 'start': 695.26, 'duration': 3.51}
{'text': 'theory and if these are not assumptions', 'start': 697.27, 'duration': 3.42}
{'text': 'these are tried and true tested and', 'start': 698.77, 'duration': 3.84}
{'text': 'proven over and over and over and over', 'start': 700.69, 'duration': 4.11}
{'text': 'again so we know that this happens and', 'start': 702.61, 'duration': 4.83}
{'text': "the guy who's in charge of Education who", 'start': 704.8, 'duration': 5.04}
{'text': 'desperately needs an education has no', 'start': 707.44, 'duration': 5.07}
{'text': "idea how much he doesn't know he doesn't", 'start': 709.84, 'duration': 4.23}
{'text': "know what he doesn't know and the", 'start': 712.51, 'duration': 3.27}
{'text': "problem is he won't know because", 'start': 714.07, 'duration': 4.38}
{'text': 'remember ignorin s-- right ignore is an', 'start': 715.78, 'duration': 3.93}
{'text': 'important part of the word ignorant', 'start': 718.45, 'duration': 3.3}
{'text': "ignorance isn't just what you don't know", 'start': 719.71, 'duration': 3.87}
{'text': "it's also what you won't know because", 'start': 721.75, 'duration': 3.18}
{'text': 'you got some brilliant people who are', 'start': 723.58, 'duration': 3.54}
{'text': 'very smart to particular areas wasting', 'start': 724.93, 'duration': 3.81}
{'text': 'really in a sense their time their', 'start': 727.12, 'duration': 3.09}
{'text': 'efforts and their resources to try to', 'start': 728.74, 'duration': 2.67}
{'text': "prove I'm at the mythological history", 'start': 730.21, 'duration': 1.95}
{'text': 'that never took place', 'start': 731.41, 'duration': 3.84}
{'text': "excuse me that's your job that's what", 'start': 732.16, 'duration': 6.27}
{'text': "you're doing you're an apologist you are", 'start': 735.25, 'duration': 5.1}
{'text': 'accusing us of doing the thing that', 'start': 738.43, 'duration': 3.72}
{'text': "you're doing but that we are not doing", 'start': 740.35, 'duration': 4.29}
{'text': 'we have made huge advances in geology', 'start': 742.15, 'duration': 5.24}
{'text': 'and toxicology and and in medicine', 'start': 744.64, 'duration': 4.86}
{'text': 'understanding evolution has given us', 'start': 747.39, 'duration': 5.29}
{'text': 'huge boons and saved billions of lives', 'start': 749.5, 'duration': 5.16}
{'text': 'in understanding how evolutionary', 'start': 752.68, 'duration': 4.74}
{'text': 'processes work what have we gained from', 'start': 754.66, 'duration': 4.86}
{'text': "pretending yes pretending because that's", 'start': 757.42, 'duration': 3.93}
{'text': 'all you can do that things were created', 'start': 759.52, 'duration': 4.38}
{'text': "there's no value there there's no such", 'start': 761.35, 'duration': 4.83}
{'text': "thing as creation nobody's ever created", 'start': 763.9, 'duration': 4.47}
{'text': "anything we've watched evolution happen", 'start': 766.18, 'duration': 3.66}
{'text': "in the lab we've manipulated it", 'start': 768.37, 'duration': 3.57}
{'text': 'throughout the entire history of', 'start': 769.84, 'duration': 4.59}
{'text': "Agriculture there's an enormous benefit", 'start': 771.94, 'duration': 5.399}
